가맹점코드,가맹점명,사업자등록번호,지류취급여부,전자취급여부,모바일취급여부,한도금액
63110200799,왕자상회,3931401010,Y,Y,Y,3100000
55011600079,관혼상제,4170535963,Y,Y,Y,3100000
11022200005,술이술술,5460102350,Y,N,N,3100000
13810800184,공씨네212-59,1360275181,Y,Y,Y,3100000
44211400062,좋은빵만들기,1244811159,Y,Y,Y,3100000
46210800028,에이스할인마트,4878701283,Y,Y,Y,30000000
79110800105,포항수협59수산,3579000912,Y,Y,N,3100000
5021200013,국제복장,4081651039,Y,Y,Y,3100000
10012400102,에이스상사,1043463938,Y,Y,Y,3100000
40310614843,그리다네일,2263100310,Y,Y,N,3100000
54011600169,네이처리퍼블릭,4852400696,Y,Y,Y,3100000
15210100061,굿모닝청과,7259100558,Y,Y,Y,3100000
50210300194,용호상회,4100740789,Y,Y,N,3100000
40210513312,형제가방,2575900453,Y,N,N,3100000
10011700016,충무로구룡포2호점,2011747187,Y,Y,Y,3100000
40010415188,세니떼 뷰티샵,3980601757,Y,Y,N,10000000
78010100295,쑥,2555100280,Y,Y,N,3100000
50210600074,Eg정보통신,2960600807,Y,N,N,3100000
61410600066,미석,6052296619,Y,Y,N,3100000
12010100070,독립문현대그린마트,7708800811,Y,N,Y,8000000
79110200555,수성식육점,2059363048,Y,Y,Y,5000000
48310100111,인헤어,2310107259,Y,Y,Y,3100000
10010100042,Jee.H,1040754748,Y,Y,N,3100000
70012000006,포토제닉,5042884845,Y,N,Y,3100000
60010500226,남포NIX,6020178688,Y,Y,N,3100000
10052200002,디디치킨,4442401490,Y,Y,Y,3100000
70010801000,경화주단,3683800461,Y,Y,Y,3100000
73011100080,미리네상회,4409300307,Y,Y,Y,15000000
24010300214,자연애찬,6460601618,Y,Y,Y,3100000
44010300174,새우주약국,1245334909,Y,Y,Y,5000000
70011200080,대경참기름,4165200164,Y,Y,Y,5000000
10011100014,리오,7667200086,Y,Y,Y,3100000
15012100006,고운화장품,6122610989,Y,Y,Y,3100000
30610400041,늘푸른청과,3059213894,Y,Y,Y,15000000
10011600177,보라미,2010558982,Y,Y,N,10000000
43510300558,박준뷰티랩 산본점,1233676627,Y,Y,Y,3100000
42110400014,고향쌀상회,1309941330,Y,Y,Y,3100000
30110100347,에스더블유(SW)헤어스토리,8483400334,Y,Y,Y,3100000
74210900007,블루페페,5110343795,Y,Y,Y,3100000
36010500595,신농탕제원,3010352979,Y,N,N,3100000
79010200157,수호건어물,4939001124,Y,N,Y,8000000
32010300015,경북젓갈상회,3089034370,Y,Y,N,3100000
13110800022,형제야채,2049323567,Y,Y,Y,3100000
6054200006,유성청과,5089098106,Y,Y,Y,3100000
60011000167,총각네정육백화점,6212284395,Y,Y,Y,10000000
36010500534,대정식품,3179032338,Y,N,N,3100000
46710400197,알레르망 이천점,8358501057,Y,Y,Y,3100000
13810100231,서울마트,5190201720,Y,Y,Y,3100000
13810900019,마천상회,2020107135,Y,Y,Y,3100000
10014800011,우리집떡볶이,6480500559,Y,Y,Y,3100000
69710200065,삼보상회,6162142396,Y,Y,Y,3100000
23310400075,곤드레만드레,2250289495,Y,Y,Y,3100000
